"difference_type","term","Estimate","Std._Error","t_value","source_table","p_value_normal_approx","signif"
"WUE_E_minus_WUE_T","(Intercept)",2.77747497934176,0.798548112293174,3.47815608926273,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.000504875837050527,"***"
"WUE_E_minus_WUE_T","Trans_ratio_z",4.95991365811175,0.116491805437042,42.5773610384324,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0,"***"
"WUE_E_minus_WUE_T","water_classFreshwater",-0.607050471462563,0.494734618654214,-1.22702242489898,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.219814162557771,""
"WUE_E_minus_WUE_T","water_classSaline",-0.433632520151991,0.541680901014989,-0.800531307896328,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.423403031774218,""
"WUE_E_minus_WUE_T","month_f2",-0.951910421438015,0.780881497601094,-1.21902033069336,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.222836476088775,""
"WUE_E_minus_WUE_T","month_f3",-1.28958611576835,0.74650761802425,-1.7274922380316,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.0840792979907197,"."
"WUE_E_minus_WUE_T","month_f4",-1.42078030097627,0.741703210882826,-1.91556444697759,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.0554205585963823,"."
"WUE_E_minus_WUE_T","month_f5",-1.2395062873835,0.740540820712149,-1.67378522927544,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.094172816288634,"."
"WUE_E_minus_WUE_T","month_f6",-1.06745553820562,0.741619831136257,-1.43935678819448,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.150049460797432,""
"WUE_E_minus_WUE_T","month_f7",-1.17461433987236,0.744567842672216,-1.57757866047066,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.1146624379834,""
"WUE_E_minus_WUE_T","month_f8",-1.29039162372835,0.745057361288613,-1.73193594315551,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.0832849682517263,"."
"WUE_E_minus_WUE_T","month_f9",-1.41453856743019,0.747423874455097,-1.89255202539716,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.0584174688181968,"."
"WUE_E_minus_WUE_T","month_f10",-1.17532186503771,0.758101629406815,-1.55034868604273,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.121057847690589,""
"WUE_E_minus_WUE_T","month_f11",-0.778685229692388,2.13731117272869,-0.364329368427082,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",0.715612071829291,""
"WUE_E_minus_WUE_T","Trans_ratio_z:water_classFreshwater",-1.74767384261047,0.183464271122803,-9.5259629131857,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",1.63518858962055e-21,"***"
"WUE_E_minus_WUE_T","Trans_ratio_z:water_classSaline",-1.70138327800468,0.236359936435939,-7.19827270077901,"Q1_WUE_E_minus_WUE_T_fixed_effects.csv",6.09800939590746e-13,"***"
"WUE_ET_minus_WUE_E","(Intercept)",-4.7377794152086,0.717235177346526,-6.60561495705834,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",3.95870577312741e-11,"***"
"WUE_ET_minus_WUE_E","Trans_ratio_z",-2.6073801967698,0.10466382041704,-24.9119532077132,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",5.52181963089574e-137,"***"
"WUE_ET_minus_WUE_E","water_classFreshwater",1.25251350659515,0.442431309940776,2.83097845575807,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.00464058467256987,"**"
"WUE_ET_minus_WUE_E","water_classSaline",1.50434371357914,0.484422729861306,3.10543585353611,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.0018999882673178,"**"
"WUE_ET_minus_WUE_E","month_f2",0.276177531745998,0.701937135426982,0.393450521146743,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.693986761616252,""
"WUE_ET_minus_WUE_E","month_f3",0.55502339803486,0.671036753418601,0.827113261989437,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.408172868046671,""
"WUE_ET_minus_WUE_E","month_f4",0.733618616490696,0.66671557432736,1.10034720162467,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.27118087352056,""
"WUE_ET_minus_WUE_E","month_f5",0.42644137275129,0.665669595452466,0.640620175030574,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.521769488417519,""
"WUE_ET_minus_WUE_E","month_f6",0.470106279259562,0.666637428536534,0.705190346560025,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.480691787996114,""
"WUE_ET_minus_WUE_E","month_f7",0.296114876169697,0.669286598621259,0.442433595383051,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.658175472836276,""
"WUE_ET_minus_WUE_E","month_f8",0.316774770842979,0.669726420132386,0.47299130110525,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.636219385337534,""
"WUE_ET_minus_WUE_E","month_f9",0.734956398664869,0.671854283442413,1.0939223233037,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.273989047229602,""
"WUE_ET_minus_WUE_E","month_f10",0.554846324987947,0.681450697765641,0.814213451988811,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.415522680477867,""
"WUE_ET_minus_WUE_E","month_f11",-0.434283481523866,1.92106375771871,-0.226064064651131,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",0.82115159337037,""
"WUE_ET_minus_WUE_E","Trans_ratio_z:water_classFreshwater",0.750038043730577,0.1648461196058,4.54992841520417,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",5.36641688689635e-06,"***"
"WUE_ET_minus_WUE_E","Trans_ratio_z:water_classSaline",0.861605009944044,0.212278292798211,4.05884651975733,"Q1_WUE_ET_minus_WUE_E_fixed_effects.csv",4.93157119692806e-05,"***"
"WUE_ET_minus_WUE_T","(Intercept)",-2.0563289732557,0.637138237958106,-3.22744555380289,"Q1_WUE_ET_minus_WUE_T_fixed_effects.csv",0.0012490080813581,"**"
"WUE_ET_minus_WUE_T","Trans_ratio_z",2.3747412349868,0.0876965408739034,27.0790753126897,"Q1_WUE_ET_minus_WUE_T_fixed_effects.csv",1.73694582752272e-161,"***"
"WUE_ET_minus_WUE_T","water_classFreshwater",0.610559268689284,0.533541485661878,1.14435200466532,"Q1_WUE_ET_minus_WUE_T_fixed_effects.csv",0.252477684135929,""
"WUE_ET_minus_WUE_T","water_classSaline",1.09905579387643,0.583795426773956,1.88260432245897,"Q1_WUE_ET_minus_WUE_T_fixed_effects.csv",0.0597540101713813,"."
"WUE_ET_minus_WUE_T","month_f2",-0.619856727919504,0.572940671627848,-1.0818864127037,"Q1_WUE_ET_minus_WUE_T_fixed_effects.csv",0.279303003027224,""
"WUE_ET_minus_WUE_T","month_f3",-0.675994150423744,0.547780301938269,-1.23406071381501,"Q1_WUE_ET_minus_WUE_T_fixed_effects.csv",0.217180281302644,""
"WUE_ET_minus_WUE_T","month_f4",-0.623736167534811,0.544360197118999,-1.145815162159,"Q1_WUE_ET_minus_WUE_T_fixed_effects.csv",0.251871640181788,""
